Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2021-07-14,Tamil Nadu,3038590.19,272816,15163,34032154,2872131,11769868,4890617,1685,2343937,9789936,99133,27935,12862888,13893055,3742353,16381459,1510770,6224881,3538009,716801,3558,2397668.54
2021-05-19,Delhi,9716107.03,91019,21332,29666893,1615304,17273038,10943527,3160,1821426,25789391,62104,123,13451987,1451553,7751389,16736276,6328895,4002842,13305989,5010769,931,26146912.07
2021-03-06,Rajasthan,3075321.69,89616,25782,35731835,1676412,7847222,2465401,4972,6998334,28435169,48950,14485,19482183,9087365,7216183,9414508,3010852,4464780,9432793,641565,580,4999989.59
2021-04-17,Andhra Pradesh,8193718.58,270535,27242,8686310,2824506,18902825,11572002,514,1512510,7197329,74521,14211,8374865,2705964,5379051,17907403,10401603,8966820,17018653,17213863,2478,6101452.15
2021-06-01,Bihar,26668989.45,259242,14422,9690459,5449775,21643932,17761965,2345,6922623,10724137,143910,14320,2993906,460138,9141526,2488438,2199430,3822223,16226733,3381490,879,6355382.17
2021-02-22,Bihar,25044778.23,9514,27321,31866763,10828005,21211591,20485414,1007,4129887,41351594,159766,22238,11805740,6782804,5165893,17213733,1665481,7988216,814670,5320141,1372,22710960.85
2021-05-31,India,25583473.9,189052,4717,31141589,161107,25651942,1641096,628,3923759,6450399,21913,25120,13133308,10672818,11805893,10056375,7329751,6582079,2614471,14000265,816,17106024.29
2021-03-24,Rajasthan,40911723.39,151399,220,7066526,7043598,5895186,7882210,1694,254566,32975640,1996,29629,15152034,8788816,11686907,9944620,6495183,873134,8155807,13170370,567,31675601.8
2021-01-19,Maharashtra,21617002.09,1480,25682,12280453,6118491,25882931,18337052,2910,6848519,22052516,96035,17592,12680333,8736715,8632696,2257822,11131684,8354264,11800051,17873944,75,38187286.9
,,37780424.61,161112,,17800756,10750939,9344984,5245969,169,6892760,1941284,77321,28102,19090149,3247381,1591003,4278344,7038239,2097231,15797311,11415317,438,35638665.79
2021-03-06,Andhra Pradesh,44328408.78,164487,27653,7740103,9332579,19470078,23251372,3410,7822495,6371431,167466,7551,15820194,9856416,10953274,14197816,8188868,5140859,7784774,14005693,3464,21793104.88
2021-02-08,Rajasthan,624343.39,26563,1104,28264516,7853763,6481370,23079246,2894,6596373,12630835,99205,18024,17834233,8596337,8949285,17902355,11783393,60,18491053,15288594,3617,14043467.01
2021-01-25,Karnataka,1795067.42,131965,27278,25235647,11245350,25039160,9444329,4126,5391525,31400396,160350,27639,10586307,624208,9288311,1952778,4517965,5543563,1760911,14813793,1654,25427998.14
2021-01-17,Punjab,2826148.84,19688,5096,12819476,7170938,17506282,12302881,3787,5064047,697057,179556,14801,2508933,12691279,956415,16050344,5200840,7575416,275729,1437398,2574,18838569.34
2021-04-02,Telangana,38931906.02,27146,14920,32329191,9635434,9828216,8870353,2109,934489,606938,74216,27459,7004161,12812061,1636413,14267432,5651783,4786550,10833532,16034707,3393,14194310.77
,,39133906.13,227604,,37672915,10784754,9397004,2353288,1322,622381,3810919,93222,22813,7111202,8260000,317064,10057258,1531714,3701544,9546104,9015009,2415,19573089.85
2021-02-08,Delhi,25302347.84,21233,24044,36123882,4639043,23957935,14190717,2832,503120,41649588,135537,8402,13796946,7901911,10924568,14419128,3290272,1578887,4869706,15005799,870,11067922.08
2021-08-11,Odisha,549052.44,271368,8964,35551495,11766452,2448738,22219619,2862,371464,32859616,157448,106,18676086,14104576,11421732,1643201,10594493,7049079,18582202,2080421,1182,32181301.5
2021-08-06,Tamil Nadu,8472366.71,280684,3687,29583666,8429264,12793520,16544933,1324,3450235,34433219,10324,589,17532247,14504408,2022663,15934565,10346378,8605711,18158031,15904783,766,3902231.76
2021-07-07,Punjab,41419102.07,288469,6062,2654063,8826573,15178977,11712766,2832,4964378,10439553,171817,21988,8057306,11593393,5919293,11082422,5977350,2842873,16539211,1518556,2719,2161500.38
2021-08-03,Delhi,3836426.6,256728,2682,695350,4778747,14972000,10368018,3341,6412482,14196256,136807,5766,4783702,2872416,3327401,9476428,4453764,7044550,10428365,9279114,2263,21798519.74
2021-01-22,Uttar Pradesh,3542882.25,130282,24393,18336754,817103,623691,10645874,886,5297499,7374653,107089,21000,3056660,5671881,8322791,3354640,6238326,8195954,9345412,13931121,3385,22320227.12
2021-08-04,Delhi,38908837.91,263765,19859,6363193,3156932,13894261,18009380,3944,740109,21832197,3178,27407,19162667,10449456,3535402,3862357,9450759,3887569,11578585,2878690,3471,5330881.85
2021-07-14,Delhi,30494488.76,224383,14004,10106455,6469346,6282116,3716118,3302,7733984,6272475,72580,4263,16551023,3731777,3708682,12265978,10443222,6598866,8377811,13489106,3758,37864605.29
2021-05-30,Maharashtra,20754547.02,131767,16094,37744360,11174267,14386701,1405779,163,6267852,32773535,138276,5855,14206062,414886,125997,4210075,6692473,6891181,4056089,1097683,1607,25234225.51
2021-03-25,India,41100307.61,245517,16278,37213747,5226360,6635296,3380556,4426,4274724,20398926,189062,21951,16033011,13016673,7325006,8636148,438726,2900099,18528656,8173417,1887,17378511.57
2021-05-29,Andhra Pradesh,27443403.5,263901,1605,17181177,3307328,14016132,4477127,4585,4484188,2434048,60584,12267,18163235,12709832,161278,11443760,1815567,4277386,409127,8199671,156,7232586.23
2021-06-15,Kerala,25582040.83,295518,5266,32097005,11055627,9434469,19278835,1839,602742,35469642,129187,2835,9649464,2067116,3402573,9940581,10386515,7159079,2818793,5357151,1750,15343280.52
2021-05-03,Maharashtra,32938161.83,249990,12602,39238334,9043863,7894105,17085008,3956,3032670,36751545,99138,12935,1731307,13475889,178515,9723147,10678784,2498699,78428,10956374,1558,10154511.63
2021-03-13,Bihar,38527830.66,78330,10661,15285676,9648943,17626555,7681954,3276,6111345,33242532,193650,13834,17841849,356673,1095847,2414303,8987039,7707532,19137949,13024350,137,21061060.33
2021-04-25,Rajasthan,982668.68,118297,13378,23397358,11446140,10691232,18962027,1093,7662309,11613068,5365,8481,3639828,14766418,488112,6212595,3807018,6167376,10904979,2096839,3802,14063594.44
2021-02-10,West Bengal,17878387.52,83347,16772,31499066,2530432,4927996,23188529,532,5827388,38995866,196720,14005,19378356,11875560,4111875,17947078,7359706,2057572,19756292,11288791,1363,28878182.23
2021-05-29,Maharashtra,7229155.61,55741,10895,31931056,6393274,7804551,17944965,1617,1959244,3960033,109399,21916,15275705,12956718,8406071,7774156,1205323,3039558,18584803,9187049,2457,2504385.81
2021-02-01,Karnataka,23644025.58,25774,16243,22797619,7745375,24690949,15861451,191,4087112,32503742,199063,9622,15334554,4593523,9541682,15534517,1355563,8136796,16263068,12949742,1958,23574155.93
2021-06-12,Punjab,23161369.81,205481,8668,16762258,8134180,20428851,13161317,2828,4982939,4907265,2486,19319,6604304,5177586,5362168,3088946,7538311,8149056,16677248,8992306,937,37808542.9
2021-07-01,Odisha,22077368.96,263788,12307,29307947,7977819,15747802,13598412,1660,6045094,17178734,143630,9313,14171979,6246829,864755,14429148,11308997,4298645,16518656,3797037,3027,25772189.45
,,25251782.7,265801,,11150401,4766274,12868840,10150221,4330,2334949,5801193,178575,29101,13483621,10755638,3497844,17352449,9507441,3852723,6786430,12006112,3372,23405303.4
2021-05-18,Tamil Nadu,45345190.69,84084,16321,34749118,8475182,734842,6990433,330,7036313,28794033,13829,19703,8351166,10218422,11597061,16081417,8881662,9935645,17220242,11261762,271,15908849.32
2021-07-13,Gujarat,3669913.54,2940,8870,34192768,10339110,9399582,7331660,1160,3802690,5163218,179322,27620,14396427,7045253,7879448,16232107,5809662,5107558,10607340,8833862,2948,30876610.38
2021-05-04,Assam,8550430.98,226054,20052,4935591,2895417,14795722,22733850,3719,4708707,35345735,119441,16293,335526,1869985,6918859,17034034,425933,5414178,10288913,8407347,3308,32326113.61
2021-04-25,Punjab,1838902.92,106020,12103,23462056,5863207,10576724,13255055,3514,4627427,9748062,69750,27003,2766558,10863206,11002936,8946507,5202844,3618682,4210368,4889244,3211,10768567.47
2021-01-29,Uttar Pradesh,43486130.11,37589,23205,15831395,3480296,21214310,16067798,1966,5817810,917323,83986,19634,19567732,11139646,8938995,16232679,12465111,4130520,12670737,1610245,1894,3429901.39
2021-07-05,Tamil Nadu,3173700.22,150601,27041,37985736,7379713,21613418,6359488,3495,2807727,39176440,191613,17941,11159376,12868268,10850089,12025879,8350234,5853762,837973,8800773,3497,30087787.38
2021-01-17,Maharashtra,32588168.9,129655,29286,16835394,4030818,22993560,2148912,3251,1008822,35946279,132297,5515,17283789,12282943,5882917,5823502,3587155,6059182,7782112,12889792,3299,16561358.48
2021-08-05,Uttar Pradesh,10436330.3,34706,25447,21781311,6111326,20125701,20991053,2322,5831437,39035289,16324,6167,7368784,578013,1277319,1879236,1054851,7389379,5680747,12181373,976,27455268.48
2021-04-06,Punjab,7137273.38,155928,5545,6281985,2845103,11272208,22802699,2451,7093168,13486850,150347,25116,16737406,4159453,6084285,4910201,6067122,1449074,16917609,3213032,3723,5659836.08
2021-01-25,Delhi,3214557.26,222555,28676,22037343,8082353,22986728,16707401,291,1269956,8653931,107817,27729,6696767,8933356,2011474,14517014,2544124,6986823,19981420,9985627,1673,25377446.19
2021-02-18,West Bengal,42986127.9,208779,20167,14309294,2885674,2634653,22106280,4236,959557,24282464,9373,6011,3096581,6638554,9888868,9033349,7682792,5340566,18549317,7734344,3080,30994209.65
2021-08-07,Odisha,43393129.87,209,23755,29847604,9437329,10108774,15435043,2515,1930097,40155786,127838,1205,1032096,861569,11447521,15739324,3237148,7024340,3205550,10325579,3680,10084198.2
2021-04-01,Assam,29168795.57,227894,15903,9200328,10049322,21546835,11264836,2994,5058040,8954133,27370,10239,12005383,598449,5964518,17423675,1097725,8876934,19334323,278890,1061,10067628.59
2021-01-29,Assam,32730643.91,71224,6347,10896558,6020889,9668970,16201871,3972,7133529,16552837,6131,10237,16103229,4617263,2169328,16093002,8651960,8205229,19104802,12485512,1606,16992833.34
2021-07-27,Delhi,18105578.17,299051,14750,28906686,7817623,16666142,15283774,3510,502141,28078004,186371,11496,12997547,2278340,3225543,761242,7554004,1925661,12296866,7573877,45,9295271.72
2021-07-02,Uttar Pradesh,15571142.63,170500,5329,7067851,11276166,19192349,16473976,2524,973593,21197306,114378,3941,1543367,1357531,5844716,4801018,2612901,4269453,3268582,11183247,559,30086322.35
2021-05-01,Karnataka,30465157.88,218985,5079,23658194,3051244,16569740,1650950,1862,6820936,6396570,51720,14988,11530064,1717312,9763910,15935221,12103656,7543988,5539446,4662706,1561,29833049.01
2021-06-28,Uttar Pradesh,30257575.78,101888,21531,28703247,6407065,21569569,12253573,4985,4419192,30234573,194715,5418,5783596,4319525,11284235,4486348,9308710,8072412,2482559,601908,1324,37814839.81
2021-03-08,Bihar,45163045.57,139262,23170,5574740,5202400,4304647,9148371,2672,487840,41659881,183485,6043,13149277,2342325,8852202,13537508,12809819,5138892,5865133,9023967,1324,11413862.08
2021-03-04,West Bengal,15354407.09,202805,28666,23560958,8416639,23742247,990229,577,6844923,27514990,56215,23740,2394384,12656509,297829,6848633,1742587,8664509,12646007,11997152,3026,20546133.14
2021-06-09,Rajasthan,14880862.27,228238,740,30512794,973024,11271436,12945294,4223,1395147,23107064,27105,28514,19524079,9208152,3212177,2621293,5110505,1607982,7495351,16425434,572,36808919.75
2021-04-08,Odisha,45801435.7,256046,25090,15215643,7431247,19791052,2266284,1587,3417844,958826,59777,12751,10782450,14601612,6266200,5584608,3727763,9566895,15082856,4802698,2371,35916401.91
2021-07-16,Kerala,33849147.7,160786,27118,17078072,6223487,18566549,7665075,3750,1411705,7826217,10591,17051,6257254,12730339,7189032,13123835,2893705,1586784,2255734,1141151,2847,39556953.74
2021-03-05,Telangana,31238134.57,176033,19180,26755463,9776048,4363648,16562079,4616,5621127,16566584,165602,15159,11051772,2316087,2343411,1946403,6127817,9297270,705399,12913085,1734,20018740.77
2021-03-03,West Bengal,850149.63,234694,21805,35498333,9830217,1459563,18643129,2128,594874,11520965,191726,4612,19982319,136823,6589685,1770122,2181542,4711684,14491873,1901700,2534,8366361.71
