parent_location_name,location_name,current_emergency_department_name,emergency_department_current_care_area,last_update,encounter_count
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 20:15:25,44
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:40:51,11
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 20:11:36,32
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 20:00:04,33
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 22:36:54,27
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 23:45:53,7
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:40:18,45
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 21:52:09,12
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 22:50:53,29
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 22:12:59,17
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 20:50:37,43
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 23:52:37,29
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 22:11:16,9
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 22:29:09,16
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 21:08:47,29
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 20:36:22,25
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 21:34:21,34
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 21:44:27,32
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 22:13:21,17
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 21:54:40,5
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 22:51:28,44
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 21:40:30,2
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 20:10:00,2
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 22:39:39,8
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 22:58:54,35
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:04:54,18
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 20:26:09,32
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 22:52:13,8
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 21:03:45,14
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 20:09:31,24
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 21:51:40,30
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 20:46:30,4
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 23:37:29,44
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 21:29:11,41
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 20:58:22,27
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:39:04,23
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 22:59:42,1
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 20:41:56,5
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 23:35:51,35
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 23:56:01,30
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 20:09:18,25
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 23:45:07,39
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 21:09:55,32
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 23:37:16,17
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 20:06:04,10
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 20:42:43,9
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 22:40:42,24
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 20:43:46,18
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 22:33:17,25
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 21:14:11,34
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 23:06:51,44
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 21:34:48,42
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 20:20:49,43
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 22:37:13,27
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 22:33:10,4
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 23:49:19,2
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 23:31:02,30
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 22:34:09,13
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 23:34:55,16
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 20:05:33,45
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 23:07:30,40
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 22:38:06,40
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 20:38:38,10
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 20:37:30,36
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 21:59:17,40
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 21:00:50,21
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 22:30:30,38
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 20:46:03,33
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 23:47:59,30
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 20:00:29,36
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 20:58:26,33
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:00:34,27
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 21:41:09,21
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 20:11:10,23
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 22:29:33,1
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 20:52:19,7
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 22:04:08,30
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 23:47:16,25
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 20:44:57,23
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:53:43,1
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 22:12:02,24
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 20:52:12,43
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:11:49,16
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 22:45:13,37
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 20:23:44,29
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 22:18:13,41
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 20:46:50,20
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 20:21:36,38
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 22:18:11,25
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 23:45:45,8
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:13:13,34
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 21:50:47,4
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 23:05:09,6
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 21:15:59,22
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 22:33:28,18
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 22:16:50,14
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 21:31:01,9
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 21:51:01,36
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 22:47:36,22
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 20:44:26,39
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 21:30:31,43
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 23:36:19,34
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 21:08:40,33
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 21:30:37,6
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 20:31:51,24
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 23:41:55,43
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 21:33:44,14
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 21:43:01,24
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 21:41:42,8
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 22:21:23,44
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:33:22,14
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 21:13:33,3
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 23:08:40,41
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 22:23:24,35
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 23:38:18,23
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 20:52:49,20
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 21:18:31,44
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 20:40:42,4
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 20:12:47,25
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:36:06,19
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 23:48:06,41
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 22:21:06,38
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 23:08:48,38
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 21:34:53,33
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 20:50:24,30
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 23:10:24,9
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 23:22:08,45
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 21:09:57,16
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 23:43:34,29
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 23:33:18,18
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 20:14:35,45
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 23:53:36,15
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 21:27:19,21
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 21:47:29,23
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 20:31:10,10
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 20:09:26,12
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 23:21:57,40
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 19:59:29,13
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 21:30:54,30
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 23:22:33,22
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 21:43:18,42
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 22:49:18,8
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 20:09:20,35
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 20:54:05,9
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 23:28:53,40
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 23:44:57,36
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 20:01:36,11
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 23:15:12,15
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 21:12:58,11
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 21:49:59,7
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 22:59:10,12
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 23:11:55,15
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 21:55:13,29
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 22:18:38,32
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 20:49:20,24
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 20:24:02,8
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 21:36:22,13
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 22:09:06,20
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 23:21:00,34
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 23:02:14,29
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 21:40:16,44
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 22:54:20,26
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 21:26:27,11
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 22:21:39,27
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 20:19:43,22
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 22:04:12,1
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 20:55:23,35
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 21:01:28,39
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 23:53:18,11
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 21:16:13,27
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 21:04:21,15
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 22:19:17,32
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 20:47:22,27
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 22:36:07,16
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 20:56:16,33
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 20:55:30,21
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 23:40:02,27
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 21:56:25,42
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 23:31:09,19
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 20:20:23,40
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 22:07:23,36
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 21:37:31,17
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 20:40:10,18
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 21:58:41,8
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 22:52:35,31
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 22:30:03,39
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 23:08:41,20
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 23:41:22,7
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 23:17:19,41
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 23:05:59,31
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 23:16:36,38
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 23:20:37,22
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 20:29:01,16
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 20:21:34,24
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 20:37:14,7
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 22:43:58,45
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 22:50:36,20
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:50:24,25
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 20:38:34,9
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 22:47:36,29
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 23:34:45,11
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 22:15:43,30
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 20:34:42,14
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:06:26,19
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 21:36:17,45
